Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,clasificacion_sku,Margen_Bruto,Brecha_Entrega
TRX-10000,PROD-3619,2025-04-25,6.0,1752.48,51.93,29,Entregado,Bucaramanga,Físico,,,,,,,,SKU fantasma - sin inventario,,
TRX-10001,PROD-1456,2025-07-29,12.0,686.88,67.16,29,Entregado,Ventas_Web,WhatsApp,Laptops,1935.0,245.14,115.0,10.0,Norte,2025-11-16,Catalogo oficial,5233.719999999999,19.0
TRX-10002,PROD-1102,2025-05-31,2.0,402.06,32.55,13,Perdido,Medellín,Físico,Tablets,1180.0,722.77,203.0,3.0,Norte,2025-05-16,Catalogo oficial,-673.9699999999999,10.0
TRX-10003,PROD-2126,2026-01-23,4.0,665.98,62.64,12,Perdido,Medellín,Online,Accesorios,856.0,1288.22,261.0,3.0,Zona_Franca,2024-09-04,Catalogo oficial,-2551.6000000000004,9.0
TRX-10004,PROD-2003,2025-10-09,5.0,1222.62,52.91,15,Entregado,Bogotá,App,Laptops,1399.0,839.17,193.0,27.5,BOD-EXT-99,2025-09-02,Catalogo oficial,1864.3400000000001,-12.5
TRX-10005,PROD-1914,2025-11-05,2.0,740.61,25.63,29,Retrasado,Medellín,Online,Accesorios,1544.0,440.28,178.0,10.0,BOD-EXT-99,2024-03-17,Catalogo oficial,575.0300000000001,19.0
TRX-10006,PROD-1571,2025-06-20,12.0,1349.06,30.32,23,,Bogotá,Físico,Smartphones,1618.0,1496.74,292.0,10.0,Norte,2025-07-30,Catalogo oficial,-1802.4800000000014,13.0
TRX-10007,PROD-1419,2025-11-18,8.0,481.5,21.21,13,Perdido,Cali,App,Laptops,430.0,479.1,207.0,10.0,BOD-EXT-99,2024-05-06,Catalogo oficial,-2.0100000000002183,3.0
TRX-10008,PROD-3771,2025-11-03,1.0,1404.98,10.38,6,,Medellín,App,,,,,,,,SKU fantasma - sin inventario,,
TRX-10009,PROD-3233,2025-03-21,3.0,701.4,63.82,26,,Medellín,Físico,Smartphones,1514.0,463.84,245.0,27.5,Norte,2024-05-13,Catalogo oficial,648.8599999999999,-1.5
TRX-10010,PROD-1356,2025-04-04,7.0,917.18,68.91,14,Entregado,Bogotá,App,Tablets,1776.0,469.69,215.0,0.0,Norte,2025-06-30,Catalogo oficial,3063.5199999999995,14.0
TRX-10011,PROD-3418,2025-12-07,10.0,1119.91,20.77,3,Devuelto,Bogotá,Físico,Monitores,669.0,1363.57,293.0,3.0,Sur,2025-12-01,Catalogo oficial,-2457.369999999999,0.0
TRX-10012,PROD-2728,2025-08-01,1.0,1375.59,51.605000000000004,8,Entregado,Cali,App,Tablets,445.0,124.9,100.0,0.0,Norte,2025-03-23,Catalogo oficial,1199.085,8.0
TRX-10013,PROD-1130,2024-12-10,13.0,485.04,63.46,12,Entregado,Barranquilla,Físico,Accesorios,427.0,887.57,200.0,3.0,Sur,2025-08-07,Catalogo oficial,-5296.3499999999985,9.0
TRX-10014,PROD-1122,2025-03-21,11.0,1673.53,98.3,14,Devuelto,Ventas_Web,Online,Tablets,1344.0,553.9,267.0,3.0,Norte,2025-02-28,Catalogo oficial,12217.629999999997,11.0
TRX-10015,PROD-1383,2026-01-27,2.0,1446.47,12.07,5,,Bucaramanga,App,Monitores,7.0,1027.07,121.0,10.0,BOD-EXT-99,2025-08-16,Catalogo oficial,826.73,-5.0
TRX-10016,PROD-1895,2025-03-04,3.0,475.85,51.59,2,Perdido,Ventas_Web,WhatsApp,Accesorios,1865.0,1405.09,218.0,10.0,Norte,2024-04-08,Catalogo oficial,-2839.3099999999995,-8.0
TRX-10017,PROD-1952,2025-04-12,14.0,1950.2,74.64,10,,Ventas_Web,Online,Monitores,673.0,1010.35,109.0,5.0,Norte,2024-08-08,Catalogo oficial,13083.26,5.0
TRX-10018,PROD-3069,2024-10-06,14.0,1332.95,9.37,3,Devuelto,Cali,WhatsApp,Smartphones,20.0,1369.78,296.0,27.5,Norte,2024-03-10,Catalogo oficial,-524.989999999998,-24.5
TRX-10019,PROD-3465,2025-09-04,2.0,910.33,78.94,23,Perdido,Medellín,Online,Smartphones,0.0,890.67,137.0,5.0,Occidente,2025-04-09,Catalogo oficial,-39.61999999999989,18.0
TRX-10020,PROD-1108,2025-05-26,2.0,323.48,98.05,10,Retrasado,Bogotá,Online,Laptops,1927.0,1121.36,222.0,5.0,Norte,2025-05-16,Catalogo oficial,-1693.81,5.0
TRX-10021,PROD-3298,2024-10-06,12.0,1071.11,13.41,9,Perdido,Bogotá,Online,Smartphones,1720.0,114.65,217.0,10.0,BOD-EXT-99,2025-12-14,Catalogo oficial,11464.109999999999,-1.0
TRX-10022,PROD-1814,2024-12-30,11.0,337.9,83.11,17,En Camino,Bogotá,WhatsApp,Accesorios,1055.0,657.69,190.0,5.0,Zona_Franca,2025-10-07,Catalogo oficial,-3600.8,12.0
TRX-10023,PROD-3932,2024-10-25,6.0,864.69,40.97,28,Perdido,Ventas_Web,Online,,,,,,,,SKU fantasma - sin inventario,,
TRX-10024,PROD-3661,2025-12-02,7.0,823.34,51.605000000000004,6,En Camino,Ventas_Web,App,,,,,,,,SKU fantasma - sin inventario,,
TRX-10025,PROD-3872,2025-06-06,6.0,1442.68,18.69,27,Perdido,Barranquilla,App,,,,,,,,SKU fantasma - sin inventario,,
TRX-10026,PROD-3232,2024-10-26,11.0,392.84,51.85,9,Devuelto,Bogotá,App,Tablets,1546.0,1016.29,210.0,5.0,Occidente,2024-09-01,Catalogo oficial,-6909.799999999999,4.0
TRX-10027,PROD-2718,2024-10-11,6.0,1645.52,11.79,23,Perdido,Medellín,Online,Tablets,369.0,409.07,131.0,0.0,Sur,2025-06-07,Catalogo oficial,7406.909999999999,23.0
TRX-10028,PROD-1902,2025-02-21,9.0,659.0,54.6,3,Entregado,Cali,Físico,Laptops,1880.0,239.54,150.0,10.0,Sur,2025-02-10,Catalogo oficial,3720.54,-7.0
TRX-10029,PROD-2839,2026-01-25,8.0,893.54,6.84,7,Perdido,Ventas_Web,Físico,Laptops,1365.0,816.63,214.0,5.0,Sur,2026-01-06,Catalogo oficial,608.4399999999996,2.0
TRX-10030,PROD-3413,2025-06-09,14.0,1546.96,74.22,12,Devuelto,Barranquilla,App,Smartphones,2.0,337.38,100.0,10.0,Norte,2025-06-25,Catalogo oficial,16859.9,2.0
TRX-10031,PROD-2139,2025-03-05,8.0,1254.53,51.36,18,Devuelto,Bucaramanga,Online,Laptops,1316.0,839.61,299.0,0.0,Occidente,2025-12-30,Catalogo oficial,3268.0,18.0
TRX-10032,PROD-1026,2024-12-08,6.0,622.97,48.6,10,Perdido,Bogotá,WhatsApp,Laptops,1993.0,1088.27,238.0,10.0,BOD-EXT-99,2024-12-07,Catalogo oficial,-2840.4,0.0
TRX-10033,PROD-1653,2025-08-02,5.0,778.54,23.64,2,Perdido,Bucaramanga,WhatsApp,Monitores,0.0,605.66,223.0,3.0,Zona_Franca,2024-06-24,Catalogo oficial,840.7600000000002,-1.0
TRX-10034,PROD-3859,2025-11-12,9.0,618.52,39.32,17,Perdido,Medellín,App,,,,,,,,SKU fantasma - sin inventario,,
TRX-10035,PROD-2731,2025-02-06,12.0,1193.59,22.28,3,,Barranquilla,Online,Smartphones,162.0,562.54,137.0,5.0,Occidente,2024-07-27,Catalogo oficial,7550.319999999999,-2.0
TRX-10036,PROD-2393,2025-09-16,2.0,671.92,53.06,1,,Barranquilla,WhatsApp,Laptops,132.0,751.07,271.0,3.0,Zona_Franca,2025-04-24,Catalogo oficial,-211.36000000000013,-2.0
TRX-10037,PROD-2138,2025-04-18,7.0,1454.14,74.86,8,Retrasado,Medellín,WhatsApp,Accesorios,123.0,620.31,118.0,5.0,Norte,2024-06-12,Catalogo oficial,5761.950000000002,3.0
TRX-10038,PROD-1636,2025-05-22,6.0,1163.78,23.91,13,En Camino,Medellín,WhatsApp,Laptops,184.0,1407.11,290.0,5.0,BOD-EXT-99,2024-09-24,Catalogo oficial,-1483.8899999999994,8.0
TRX-10039,PROD-1881,2024-11-28,7.0,299.96,63.59,11,Perdido,Barranquilla,Físico,Laptops,854.0,421.48,210.0,3.0,Occidente,2024-10-22,Catalogo oficial,-914.2300000000005,8.0
TRX-10040,PROD-2378,2025-01-16,12.0,627.43,31.56,8,Perdido,Bogotá,Físico,Laptops,1447.0,525.43,108.0,5.0,Sur,2024-12-23,Catalogo oficial,1192.4399999999996,3.0
TRX-10041,PROD-1418,2025-10-31,4.0,450.68,67.41,20,En Camino,Ventas_Web,WhatsApp,Sin especificar,1473.0,303.24,227.0,3.0,Sur,2025-06-17,Catalogo oficial,522.3499999999999,17.0
TRX-10042,PROD-1379,2025-04-12,9.0,786.72,56.34,1,Entregado,Bogotá,Online,Laptops,109.0,1305.07,157.0,5.0,Occidente,2025-04-12,Catalogo oficial,-4721.489999999999,-4.0
TRX-10043,PROD-2556,2025-10-03,7.0,1036.81,45.23,2,Retrasado,Bogotá,WhatsApp,Tablets,1544.0,660.07,191.0,3.0,Zona_Franca,2024-03-30,Catalogo oficial,2591.95,-1.0
TRX-10044,PROD-1396,2025-05-30,2.0,1018.46,68.94,18,Retrasado,Medellín,WhatsApp,Sin especificar,157.0,388.33,203.0,3.0,Zona_Franca,2025-11-15,Catalogo oficial,1191.3200000000002,15.0
TRX-10045,PROD-2470,2025-12-12,13.0,1511.5,44.49,18,Entregado,Medellín,Físico,Monitores,1209.0,486.4,166.0,10.0,Zona_Franca,2026-01-25,Catalogo oficial,13281.810000000001,8.0
TRX-10046,PROD-2408,2025-12-08,4.0,386.45,83.03,9,En Camino,Bogotá,Online,Smartphones,985.0,221.06,167.0,27.5,Norte,2025-06-02,Catalogo oficial,578.53,-18.5
TRX-10047,PROD-3472,2025-06-27,5.0,1893.48,74.31,7,En Camino,Cali,App,Smartphones,1540.0,1098.83,117.0,5.0,Occidente,2024-05-26,Catalogo oficial,3898.9399999999996,2.0
TRX-10048,PROD-2083,2025-01-12,2.0,692.26,52.475,9,Devuelto,Medellín,Online,Accesorios,232.0,1074.24,255.0,5.0,Norte,2025-08-10,Catalogo oficial,-816.435,4.0
TRX-10049,PROD-1177,2025-12-17,10.0,607.5,56.36,10,En Camino,Bogotá,Online,Smartphones,569.0,591.51,191.0,10.0,Norte,2025-06-01,Catalogo oficial,103.53999999999996,0.0
TRX-10050,PROD-3988,2025-08-19,8.0,1373.51,88.32,26,,Cali,Físico,,,,,,,,SKU fantasma - sin inventario,,
TRX-10051,PROD-2881,2026-01-08,1.0,1612.98,83.74,2,Retrasado,Cali,Online,Tablets,1038.0,1060.2,269.0,27.5,Sur,2025-03-04,Catalogo oficial,469.03999999999996,-25.5
TRX-10052,PROD-3196,2025-05-14,3.0,763.16,55.52,5,,Medellín,Físico,Smartphones,53.0,958.86,108.0,0.0,Sur,2025-12-11,Catalogo oficial,-642.6199999999999,5.0
TRX-10053,PROD-1511,2025-03-17,14.0,1496.23,11.5,17,Devuelto,Bogotá,Online,Tablets,73.0,87.25,202.0,5.0,Norte,2025-08-24,Catalogo oficial,19714.22,12.0
TRX-10054,PROD-2550,2025-10-19,1.0,1768.63,58.77,2,Perdido,Bogotá,Físico,Monitores,940.5,60.66,222.0,27.5,Zona_Franca,2024-08-12,Catalogo oficial,1649.2,-25.5
TRX-10055,PROD-1322,2025-12-23,5.0,1535.94,38.75,20,Perdido,Bogotá,Online,Accesorios,1193.0,642.26,163.0,10.0,Norte,2025-05-30,Catalogo oficial,4429.650000000001,10.0
TRX-10056,PROD-3261,2025-02-12,8.0,78.05,56.31,10,Perdido,Medellín,Online,Sin especificar,1155.0,540.83,104.0,27.5,Sur,2024-03-27,Catalogo oficial,-3758.5500000000006,-17.5
TRX-10057,PROD-2200,2024-10-24,7.0,1656.46,66.48,1,Devuelto,Bogotá,Online,Monitores,940.5,1331.34,183.0,0.0,BOD-EXT-99,2024-09-30,Catalogo oficial,2209.3600000000024,1.0
TRX-10058,PROD-3574,2025-03-22,9.0,1551.22,66.26,12,Retrasado,Barranquilla,Online,,,,,,,,SKU fantasma - sin inventario,,
TRX-10059,PROD-3533,2024-11-28,2.0,1341.89,68.98,24,En Camino,Cali,App,,,,,,,,SKU fantasma - sin inventario,,
TRX-10060,PROD-2481,2024-09-26,12.0,1522.44,51.605000000000004,15,Devuelto,Bucaramanga,App,Monitores,901.0,353.19,122.0,0.0,Norte,2025-12-25,Catalogo oficial,13979.395,15.0
TRX-10061,PROD-3364,2025-07-05,8.0,1959.06,69.53,6,Retrasado,Barranquilla,Físico,Accesorios,1419.0,1407.44,256.0,27.5,BOD-EXT-99,2024-08-29,Catalogo oficial,4343.4299999999985,-21.5
TRX-10062,PROD-1787,2025-06-18,8.0,867.91,15.38,14,En Camino,Barranquilla,App,Sin especificar,581.0,352.06,141.0,5.0,Zona_Franca,2024-09-28,Catalogo oficial,4111.42,9.0
TRX-10063,PROD-3885,2025-05-16,14.0,143.77,23.21,14,Entregado,Cali,WhatsApp,,,,,,,,SKU fantasma - sin inventario,,
TRX-10064,PROD-1284,2025-06-26,6.0,927.17,64.9,15,Retrasado,Bogotá,App,Tablets,1097.0,626.64,184.0,5.0,Norte,2024-12-15,Catalogo oficial,1738.2799999999993,10.0
TRX-10065,PROD-1187,2024-11-02,3.0,102.4,43.78,1,,Ventas_Web,Físico,Smartphones,1032.0,277.38,151.0,0.0,BOD-EXT-99,2024-05-15,Catalogo oficial,-568.7199999999999,1.0
TRX-10066,PROD-3708,2025-01-21,2.0,595.56,77.47,25,,Cali,WhatsApp,,,,,,,,SKU fantasma - sin inventario,,
TRX-10067,PROD-1933,2026-01-29,14.0,1177.89,16.87,17,Entregado,Cali,App,Laptops,425.0,488.58,100.0,3.0,Occidente,2025-07-03,Catalogo oficial,9633.470000000003,14.0
TRX-10068,PROD-2185,2025-06-24,8.0,626.15,23.19,11,Perdido,Medellín,WhatsApp,Accesorios,1769.0,604.08,157.0,5.0,Norte,2024-05-12,Catalogo oficial,153.3699999999999,6.0
TRX-10069,PROD-1326,2025-05-11,6.0,1373.94,58.05,15,Perdido,Bogotá,WhatsApp,Smartphones,0.0,618.27,115.0,5.0,Occidente,2025-06-11,Catalogo oficial,4475.969999999999,10.0
TRX-10070,PROD-1953,2025-07-23,4.0,1645.75,52.57,20,Retrasado,Ventas_Web,WhatsApp,Accesorios,1903.0,1140.15,281.0,0.0,Norte,2024-05-24,Catalogo oficial,1969.83,20.0
TRX-10071,PROD-1413,2024-12-17,5.0,846.67,30.31,16,,Bogotá,Físico,Laptops,405.0,424.96,230.0,3.0,BOD-EXT-99,2024-05-11,Catalogo oficial,2078.24,13.0
TRX-10072,PROD-2556,2024-11-24,5.0,1801.27,51.605000000000004,21,Entregado,Medellín,App,Tablets,1544.0,660.07,191.0,3.0,Zona_Franca,2024-03-30,Catalogo oficial,5654.395,18.0
